5 0 1 0,378372 3,02496 0 28,2812 36202 827 1500 false
5 1 2 0,359039 2,87204 0 28,2812 38465 1967 1500 false
5 2 3 0,372849 2,98279 0 28,2812 37890 814 1500 false
5 3 4 0,359039 2,87337 0 28,2812 37931 1113 1500 false
5 4 5 0,34523 2,75107 0 28,2812 38344 771 1500 false
5 5 6 0,34523 2,77234 0 28,2812 41081 4759 1500 false
5 6 7 0,331421 2,65224 0 28,2812 41201 2910 1500 false
5 7 8 0,331421 2,64811 0 28,2812 41922 2658 1500 false
5 8 9 0,317612 2,54306 0 28,2812 45335 2141 1500 false
5 9 10 0,317612 2,54122 0 28,2812 43511 3646 1500 false
5 10 11 0,317612 2,53999 0 28,2812 42941 2581 1500 false
5 11 12 0,303802 2,4313 0 28,2812 49373 22915 1500 false
5 12 13 0,372849 2,98137 0 28,2812 36843 505 1500 false
5 13 14 0,372849 2,98151 0 28,2812 36364 638 1500 false
5 14 15 0,372849 2,98468 0 28,2812 38177 725 1500 false
5 15 16 0,359039 2,87216 0 28,2812 39426 3595 1500 false
5 16 17 0,372849 2,98191 0 28,2812 36037 338 1500 false
5 17 18 0,359039 2,87234 0 28,2812 40187 2844 1500 false
5 18 19 0,331421 2,65236 0 28,2812 39229 2460 1500 false
5 19 20 0,331421 2,64868 0 28,2812 41454 3086 1500 false
5 20 21 0,34523 2,76598 0 28,2812 39326 2397 1500 false
5 21 22 0,34523 2,75781 0 28,2812 40301 2350 1500 false
5 22 23 0,34523 2,76511 0 28,2812 38135 960 1500 false
5 23 24 0,359039 2,87251 0 28,2812 38372 559 1500 false
5 24 25 0,34523 2,7607 0 28,2812 39678 2287 1500 false
5 25 26 0,34523 2,74926 0 28,2812 40478 2148 1500 false
