5 0 1 0,378372 3,02671 0 28,2812 36085 843 1500 false
5 1 2 0,359039 2,8721 0 28,2812 38880 2433 1500 false
5 2 3 0,372849 2,98216 0 28,2812 38041 927 1500 false
5 3 4 0,359039 2,86897 0 28,2812 37978 1225 1500 false
5 4 5 0,34523 2,7639 0 28,2812 38651 1123 1500 false
5 5 6 0,34523 2,7633 0 28,2812 41053 4781 1500 false
5 6 7 0,331421 2,64458 0 28,2812 41377 2808 1500 false
5 7 8 0,331421 2,65292 0 28,2812 41982 2411 1500 false
5 8 9 0,317612 2,53953 0 28,2812 44949 2173 1500 false
5 9 10 0,317612 2,54603 0 28,2812 43473 4121 1500 false
5 10 11 0,317612 2,53911 0 28,2812 42947 2609 1500 false
5 11 12 0,303802 2,43317 0 28,2812 51426 26174 1500 false
5 12 13 0,372849 2,98168 0 28,2812 36659 496 1500 false
5 13 14 0,372849 2,98429 0 28,2812 36405 642 1500 false
5 14 15 0,372849 2,97714 0 28,2812 38058 984 1500 false
5 15 16 0,34523 2,75215 0 28,2812 37846 924 1500 false
5 16 17 0,386658 3,104 0 28,2812 35941 298 1500 false
5 17 18 0,359039 2,86493 0 28,2812 40180 2961 1500 false
5 18 19 0,331421 2,66222 0 28,2812 39209 1957 1500 false
5 19 20 0,331421 2,6397 0 28,2812 41450 3108 1500 false
5 20 21 0,34523 2,77068 0 28,2812 39315 2744 1500 false
5 21 22 0,34523 2,75958 0 28,2812 40327 2262 1500 false
5 22 23 0,34523 2,75938 0 28,2812 38082 1080 1500 false
5 23 24 0,34523 2,76548 0 28,2812 38405 1798 1500 false
5 24 25 0,34523 2,76399 0 28,2812 40070 4545 1500 false
5 25 26 0,34523 2,76389 0 28,2812 40213 1207 1500 false
