5 0 1 0,378372 3,02657 0 28,2812 36169 799 1500 false
5 1 2 0,359039 2,86937 0 28,2812 38831 2256 1500 false
5 2 3 0,359039 2,87289 0 28,2812 37788 637 1500 false
5 3 4 0,372849 2,98328 0 28,2812 37895 1000 1500 false
5 4 5 0,34523 2,76288 0 28,2812 38475 951 1500 false
5 5 6 0,34523 2,75339 0 28,2812 41072 4812 1500 false
5 6 7 0,331421 2,65412 0 28,2812 40423 2984 1500 false
5 7 8 0,331421 2,64362 0 28,2812 41938 2433 1500 false
5 8 9 0,317612 2,55445 0 28,2812 44512 2326 1500 false
5 9 10 0,317612 2,54033 0 28,2812 43455 4034 1500 false
5 10 11 0,317612 2,53885 0 28,2812 42674 2288 1500 false
5 11 12 0,303802 2,42875 0 28,2812 49482 23264 1500 false
5 12 13 0,359039 2,87602 0 28,2812 36927 687 1500 false
5 13 14 0,386658 3,09452 0 28,2812 36261 388 1500 false
5 14 15 0,372849 2,98258 0 28,2812 37656 1352 1500 false
5 15 16 0,359039 2,84718 0 28,2812 38560 3026 1500 false
5 16 17 0,372849 3,00538 0 28,2812 36496 713 1500 false
5 17 18 0,359039 2,85438 0 28,2812 39756 3745 1500 false
5 18 19 0,34523 2,7828 0 28,2812 40300 2533 1500 false
5 19 20 0,317612 2,52191 0 28,2812 42001 2178 1500 false
5 20 21 0,34523 2,78118 0 28,2812 40686 4527 1500 false
5 21 22 0,34523 2,76364 0 28,2812 41114 4560 1500 false
5 22 23 0,34523 2,75672 0 28,2812 38359 1401 1500 false
5 23 24 0,359039 2,86148 0 28,2812 38255 1581 1500 false
5 24 25 0,34523 2,77107 0 28,2812 39920 4852 1500 false
5 25 26 0,34523 2,76428 0 28,2812 40057 1650 1500 false
