5 0 1 0,378372 3,02436 0 28,2812 36298 961 1500 false
5 1 2 0,359039 2,87412 0 28,2812 37812 1697 1500 false
5 2 3 0,372849 2,97053 0 28,2812 37611 979 1500 false
5 3 4 0,359039 2,88383 0 28,2812 37741 883 1500 false
5 4 5 0,34523 2,75809 0 28,2812 38058 857 1500 false
5 5 6 0,34523 2,75136 0 28,2812 42292 4806 1500 false
5 6 7 0,331421 2,6649 0 28,2812 40894 2078 1500 false
5 7 8 0,331421 2,64749 0 28,2812 42946 1540 1500 false
5 8 9 0,317612 2,54378 0 28,2812 44036 2311 1500 false
5 9 10 0,317612 2,53982 0 28,2812 42274 4267 1500 false
5 10 11 0,317612 2,54074 0 28,2812 41370 2709 1500 false
5 11 12 0,303802 2,43258 0 28,2812 45579 15854 1500 false
5 12 13 0,372849 2,98261 0 28,2812 36678 488 1500 false
5 13 14 0,372849 2,97859 0 28,2812 36246 328 1500 false
5 14 15 0,372849 2,97728 0 28,2812 37336 901 1500 false
5 15 16 0,34523 2,7699 0 28,2812 39535 2859 1500 false
5 16 17 0,386658 3,09424 0 28,2812 36609 1047 1500 false
5 17 18 0,359039 2,87082 0 28,2812 39432 3068 1500 false
5 18 19 0,331421 2,65337 0 28,2812 38621 1754 1500 false
5 19 20 0,336945 2,69491 0 28,2812 41777 2182 1500 false
5 20 21 0,34523 2,76111 0 28,2812 39008 2723 1500 false
5 21 22 0,34523 2,76343 0 28,2812 41403 3443 1500 false
5 22 23 0,34523 2,76184 0 28,2812 38601 1371 1500 false
5 23 24 0,34523 2,75724 0 28,2812 38319 1115 1500 false
5 24 25 0,34523 2,76473 0 28,2812 39897 3078 1500 false
5 25 26 0,34523 2,76318 0 28,2812 39473 1402 1500 false
