5 0 1 0,363182 2,90123 0 28,2812 39383 1583 1500 false
5 1 2 0,359039 2,8756 0 28,2812 37926 813 1500 false
5 2 3 0,359039 2,8709 0 28,2812 37933 1455 1500 false
5 3 4 0,359039 2,87426 0 28,2812 38430 792 1500 false
5 4 5 0,331421 2,6427 0 28,2812 41976 5626 1500 false
5 5 6 0,331421 2,65971 0 28,2812 42482 2741 1500 false
5 6 7 0,34523 2,76169 0 28,2812 41940 2438 1500 false
5 7 8 0,303802 2,42583 0 28,2812 46424 1942 1500 false
5 8 9 0,317612 2,52756 0 28,2812 43788 6683 1500 false
5 9 10 0,331421 2,67103 0 28,2812 42827 2496 1500 false
5 10 11 0,289993 2,31919 0 28,2812 53457 29256 1500 false
5 11 12 0,372849 2,98386 0 28,2812 37031 389 1500 false
5 12 13 0,372849 2,98214 0 28,2812 36440 516 1500 false
5 13 14 0,372849 2,97897 0 28,2812 37469 1692 1500 false
5 14 15 0,372849 2,97038 0 28,2812 38630 3081 1500 false
5 15 16 0,359039 2,88846 0 28,2812 36214 389 1500 false
5 16 17 0,359039 2,8652 0 28,2812 40244 5207 1500 false
5 17 18 0,34523 2,76328 0 28,2812 39407 2034 1500 false
5 18 19 0,331421 2,65672 0 28,2812 42099 2250 1500 false
5 19 20 0,34523 2,76132 0 28,2812 40161 4241 1500 false
5 20 21 0,34523 2,7621 0 28,2812 41018 4259 1500 false
5 21 22 0,34523 2,74661 0 28,2812 38393 1158 1500 false
5 22 23 0,34523 2,77691 0 28,2812 38630 1788 1500 false
5 23 24 0,34523 2,74639 0 28,2812 41180 4439 1500 false
5 24 25 0,359039 2,88581 0 28,2812 39911 1809 1500 false
5 25 26 0,372849 2,98621 0 28,2812 35461 350 1500 false
