5 0 1 11,879 93,0256 11 5357,88 40036 32 1500 false
5 1 2 11,7874 96,3082 0 5357,88 36100 338 1500 false
5 2 3 11,9171 94,8674 0 5357,88 38631 21 1500 false
5 3 4 12,0878 97,1087 0 5357,88 39998 552 1500 false
5 4 5 11,9276 95,5609 0 5357,88 36787 580 1500 false
5 5 6 11,8141 94,1888 0 5357,88 37352 994 1500 false
5 6 7 11,9638 95,5187 0 5357,88 36910 1631 1500 false
5 7 8 11,981 96,284 0 5357,88 36758 757 1500 false
5 8 9 11,9295 95,5045 0 5357,88 37316 2879 1500 false
5 9 10 11,9114 95,2987 0 5357,88 39904 60 1500 false
5 10 11 11,9238 95,3736 0 5357,88 37822 425 1500 false
5 11 12 11,9267 95,4036 0 5357,88 39019 863 1500 false
5 12 13 11,7931 94,3811 0 5357,88 37082 533 1500 false
5 13 14 11,694 93,2004 0 5357,88 38378 73 1500 false
5 14 15 11,8637 95,2402 0 5357,88 39991 122 1500 false
5 15 16 12,1698 96,7667 0 5357,88 36545 1038 1500 false
5 16 17 12,0583 96,7723 1 2678,23 37270 531 1500 false
5 17 18 11,8961 95,4637 0 2678,23 36142 547 1500 false
5 18 19 11,8093 93,6359 0 2678,23 36574 512 1500 false
5 19 20 12,0783 97,2213 0 2678,23 36173 671 1500 false
5 20 21 11,7216 93,9524 0 2678,23 37096 1491 1500 false
5 21 22 11,9619 95,3421 0 2678,23 39033 3477 1500 false
5 22 23 11,9696 95,2062 0 2678,23 36223 980 1500 false
5 23 24 11,9877 96,8829 0 2678,23 36995 186 1500 false
5 24 25 11,919 93,7575 0 2678,23 38496 42 1500 false
5 25 26 11,6653 94,0355 0 2678,23 36317 452 1500 false
5 26 27 12,0745 97,4412 0 2678,23 36404 882 1500 false
5 27 28 11,9448 94,6161 0 2678,23 39786 1032 1500 false
5 28 29 12,0296 97,2683 0 2678,23 37365 1362 1500 false
5 29 30 11,8513 94,2574 0 2678,23 36489 724 1500 false
5 30 31 11,9905 96,5182 0 2678,23 37864 246 1500 false
5 31 32 11,8494 94,5318 0 2678,23 47909 843 1500 false
5 32 33 11,837 94,0912 0 2678,23 39575 216 1500 false
5 33 34 12,0888 94,9684 0 2678,23 35974 711 1500 false
5 34 35 11,8504 96,9283 0 2678,23 37409 2339 1500 false
5 35 36 11,57 91,8002 0 2678,23 39115 30 1500 false
5 36 37 12,0573 97,7571 0 2678,23 41977 1795 1500 false
5 37 38 12,0659 96,0907 1 2678,23 40067 927 1500 false
5 38 39 11,8275 94,54 0 2678,23 40833 3942 1500 false
5 39 40 11,919 93,8173 0 2678,23 40467 829 1500 false
5 40 41 11,693 95,3667 0 2678,23 47081 3032 1500 false
5 41 42 12,3892 99,1629 0 2678,23 41501 4006 1500 false
5 42 43 11,7064 91,3782 0 2678,23 41891 288 1500 false
5 43 44 11,9572 98,3924 0 2678,23 39178 303 1500 false
5 44 45 11,8885 94,0063 0 2678,23 42150 147 1500 false
5 45 46 12,1279 98,1695 0 2678,23 37590 1359 1500 false
5 46 47 11,8971 94,6068 0 2678,23 38581 15 1500 false
5 47 48 11,1198 88,9889 0 2678,23 39395 2464 1500 false
5 48 49 12,496 98,6432 0 2678,23 43707 2330 1500 false
5 49 50 11,9801 96,3926 0 2678,23 37452 1888 1500 false
5 50 51 12,0029 97,2138 0 2678,23 39051 443 1500 false
5 51 52 11,7369 92,835 0 2678,23 44789 353 1500 false
5 52 53 12,0659 96,1701 0 2678,23 42663 177 1500 false
5 53 54 11,9286 96,8813 0 2678,23 46975 4693 1500 false
5 54 55 11,3106 90,1371 0 2678,23 41291 1162 1500 false
5 55 56 12,2385 96,3536 0 2678,23 46993 6708 1500 false
5 56 57 12,2337 98,0902 0 2678,23 42174 612 1500 false
5 57 58 11,0836 89,3292 1 2678,23 36647 815 1500 false
5 58 59 12,784 101,068 0 1339,12 41464 1178 1500 false
5 59 60 11,2457 90,9839 0 1339,12 47077 1729 1500 false
5 60 61 11,9944 96,8409 0 1341,95 50869 4354 1500 false
5 61 62 12,3415 97,1391 0 1344,77 44145 1156 1500 false
5 62 63 11,4956 92,7082 0 1346,19 45423 11 1500 false
