5 0 1 0,378372 3,0254 0 28,2812 36271 939 1500 false
5 1 2 0,359039 2,8718 0 28,2812 38452 1877 1500 false
5 2 3 0,372849 2,98257 0 28,2812 38030 922 1500 false
5 3 4 0,359039 2,87014 0 28,2812 38242 1472 1500 false
5 4 5 0,359039 2,87497 0 28,2812 37971 698 1500 false
5 5 6 0,34523 2,74738 0 28,2812 41540 2195 1500 false
5 6 7 0,317612 2,55405 0 28,2812 42312 4391 1500 false
5 7 8 0,34523 2,75995 0 28,2812 41541 2815 1500 false
5 8 9 0,317612 2,54067 0 28,2812 45530 2095 1500 false
5 9 10 0,317612 2,54376 0 28,2812 43518 3978 1500 false
5 10 11 0,317612 2,53678 0 28,2812 42835 2513 1500 false
5 11 12 0,303802 2,43377 0 28,2812 49594 23312 1500 false
5 12 13 0,372849 2,98377 0 28,2812 36722 378 1500 false
5 13 14 0,372849 2,98073 0 28,2812 36214 357 1500 false
5 14 15 0,372849 2,98361 0 28,2812 37133 921 1500 false
5 15 16 0,359039 2,87025 0 28,2812 39037 3168 1500 false
5 16 17 0,372849 2,9845 0 28,2812 36076 373 1500 false
5 17 18 0,359039 2,87171 0 28,2812 40317 4399 1500 false
5 18 19 0,34523 2,7598 0 28,2812 38230 2859 1500 false
5 19 20 0,331421 2,64999 0 28,2812 43077 2463 1500 false
5 20 21 0,34523 2,76555 0 28,2812 40921 3780 1500 false
5 21 22 0,34523 2,75999 0 28,2812 40333 2246 1500 false
5 22 23 0,34523 2,76493 0 28,2812 38190 1046 1500 false
5 23 24 0,34523 2,76116 0 28,2812 38248 1426 1500 false
5 24 25 0,34523 2,75625 0 28,2812 39896 3081 1500 false
5 25 26 0,359039 2,87689 0 28,2812 39735 1422 1500 false
