5 0 1 0,364563 2,91635 0 28,2812 38732 1836 1500 false
5 1 2 0,359039 2,86882 0 28,2812 37882 865 1500 false
5 2 3 0,359039 2,87545 0 28,2812 38144 2189 1500 false
5 3 4 0,359039 2,87183 0 28,2812 38484 1515 1500 false
5 4 5 0,331421 2,65138 0 28,2812 43501 5434 1500 false
5 5 6 0,331421 2,65204 0 28,2812 44418 2429 1500 false
5 6 7 0,34523 2,76139 0 28,2812 43416 2372 1500 false
5 7 8 0,303802 2,42586 0 28,2812 45542 2064 1500 false
5 8 9 0,331421 2,6543 0 28,2812 43753 6400 1500 false
5 9 10 0,317612 2,52217 0 28,2812 44450 2255 1500 false
5 10 11 0,303802 2,45065 0 28,2812 53204 29353 1500 false
5 11 12 0,359039 2,87208 0 28,2812 37135 594 1500 false
5 12 13 0,372849 2,98332 0 28,2812 36433 691 1500 false
5 13 14 0,386658 3,09027 0 28,2812 37406 1521 1500 false
5 14 15 0,359039 2,87374 0 28,2812 37184 916 1500 false
5 15 16 0,359039 2,8726 0 28,2812 36354 379 1500 false
5 16 17 0,372849 2,98168 0 28,2812 40239 5226 1500 false
5 17 18 0,331421 2,65081 0 28,2812 40458 1987 1500 false
5 18 19 0,331421 2,65073 0 28,2812 43277 1720 1500 false
5 19 20 0,34523 2,76519 0 28,2812 41863 4171 1500 false
5 20 21 0,34523 2,75234 0 28,2812 42381 4586 1500 false
5 21 22 0,34523 2,76909 0 28,2812 39100 1326 1500 false
5 22 23 0,34523 2,75989 0 28,2812 38928 2046 1500 false
5 23 24 0,34523 2,76524 0 28,2812 39587 2931 1500 false
5 24 25 0,359039 2,87311 0 28,2812 40617 1330 1500 false
5 25 26 0,372849 2,97962 0 28,2812 35581 505 1500 false
