5 0 1 11,8999 95,157 42 1853,84 39082 1983 1500 false
5 1 2 11,9371 95,2773 0 1853,84 35802 594 1500 false
5 2 3 11,8351 94,7187 1 1853,84 37872 225 1500 false
5 3 4 12,002 96,2207 0 1853,84 37123 691 1500 false
5 4 5 11,9257 93,5139 0 1853,84 37507 1844 1500 false
5 5 6 11,9076 94,6093 0 1853,84 37342 624 1500 false
5 6 7 11,9333 97,9545 0 1853,84 36825 277 1500 false
5 7 8 11,6024 92,7196 0 1853,84 36135 214 1500 false
5 8 9 12,2252 95,6225 0 1853,84 42290 722 1500 false
5 9 10 11,8999 95,9936 0 1853,84 36911 287 1500 false
5 10 11 11,7607 95,6056 0 1853,84 42092 2322 1500 false
5 11 12 12,1126 96,9617 0 1853,84 39459 5621 1500 false
5 12 13 11,9076 95,192 0 1853,84 44345 2518 1500 false
5 13 14 11,8084 94,6242 0 1853,84 36963 162 1500 false
5 14 15 11,9991 95,7815 0 1853,84 35709 485 1500 false
5 15 16 11,96 95,7659 0 1853,84 36644 1688 1500 false
5 16 17 11,7273 93,8987 18 926,211 36488 1431 1500 false
5 17 18 11,8208 93,4243 0 926,211 38628 576 1500 false
5 18 19 12,1202 96,0585 0 926,211 39764 1625 1500 false
5 19 20 12,0239 98,3533 1 465,227 36097 924 1500 false
5 20 21 11,7645 93,4583 0 501,992 36642 1602 1500 false
5 21 22 12,0859 96,5109 0 531,688 37133 1894 1500 false
5 22 23 11,8809 95,1905 0 558,555 39490 247 1500 false
5 23 24 11,9047 95,6134 0 582,594 35483 418 1500 false
5 24 25 11,8523 95,072 0 606,633 35946 262 1500 false
5 25 26 11,9715 93,3042 0 623,602 42960 10 1500 false
5 26 27 11,9772 97,0376 0 639,156 36962 287 1500 false
5 27 28 11,8713 96,3722 0 651,883 36649 540 1500 false
5 28 29 11,981 95,6302 0 663,195 41209 820 1500 false
5 29 30 11,8599 92,7251 0 668,852 36960 374 1500 false
5 30 31 11,9133 97,4262 0 677,336 40162 478 1500 false
5 31 32 11,9886 96,2567 0 687,234 36603 1157 1500 false
5 32 33 11,8618 94,8116 0 697,133 36774 218 1500 false
5 33 34 11,8151 94,5837 0 702,789 35786 393 1500 false
5 34 35 12,0859 96,699 0 709,859 36022 420 1500 false
5 35 36 11,8732 93,0961 0 721,172 43471 748 1500 false
5 36 37 11,9085 95,2671 0 736,727 41011 3344 1500 false
