5 0 1 11,9143 95,2939 47 2983,67 37238 250 1500 false
5 1 2 11,9143 95,2342 0 2983,67 38748 1973 1500 false
5 2 3 11,9295 95,5288 0 2983,67 36879 460 1500 false
5 3 4 11,6329 92,1566 0 2983,67 40494 312 1500 false
5 4 5 12,2042 98,5644 1 2983,67 46504 5302 1500 false
5 5 6 11,9276 95,4408 0 2983,67 37706 1737 1500 false
5 6 7 11,8504 93,7533 0 2983,67 38044 290 1500 false
5 7 8 11,9734 96,814 0 2983,67 36767 1247 1500 false
5 8 9 11,9324 95,4472 0 2983,67 38663 1390 1500 false
5 9 10 11,9209 95,4346 0 2983,67 38142 1004 1500 false
5 10 11 11,7836 94,0834 0 2983,67 40222 222 1500 false
5 11 12 12,0583 96,4279 0 2983,67 36136 265 1500 false
5 12 13 11,8971 95,2738 0 2983,67 37985 2944 1500 false
5 13 14 11,7674 93,4477 0 2983,67 37500 522 1500 false
5 14 15 11,8923 94,3997 0 2983,67 39870 2679 1500 false
5 15 16 12,1202 98,5117 0 2983,67 36042 383 1500 false
5 16 17 11,9286 94,9406 1 1491,84 36695 133 1500 false
5 17 18 11,7531 94,2684 0 1491,84 36631 124 1500 false
5 18 19 11,9562 95,6035 0 1491,84 36469 818 1500 false
5 19 20 12,0544 96,837 0 1491,84 37346 671 1500 false
5 20 21 11,795 93,2151 0 1491,84 37869 891 1500 false
5 21 22 11,9429 96,6454 0 1491,84 35715 455 1500 false
5 22 23 12,0115 96,1393 0 1491,84 36155 503 1500 false
5 23 24 11,9314 95,4792 0 1491,84 36987 798 1500 false
5 24 25 11,9019 94,6742 0 1491,84 35912 280 1500 false
5 25 26 11,8752 95,4483 0 1491,84 36308 205 1500 false
5 26 27 11,9171 93,1793 0 1491,84 37589 609 1500 false
5 27 28 11,9905 98,2271 0 1491,84 37495 1578 1500 false
5 28 29 11,5833 92,0726 0 1491,84 39708 315 1500 false
5 29 30 12,2585 98,7819 0 1491,84 37597 2820 1500 false
5 30 31 11,7579 93,0755 0 1491,84 39222 862 1500 false
5 31 32 11,9963 96,4979 0 1491,84 37821 1631 1500 false
5 32 33 11,961 95,4099 0 1491,84 36931 127 1500 false
5 33 34 11,9696 96,3838 0 1491,84 36265 375 1500 false
5 34 35 11,9267 95,4394 0 1491,84 35443 174 1500 false
5 35 36 11,9228 95,368 0 1491,84 40345 5193 1500 false
5 36 37 11,8999 93,166 0 1491,84 40414 8 1500 false
5 37 38 11,8818 97,0968 1 1491,84 40208 518 1500 false
5 38 39 11,9438 95,761 0 1491,84 42199 1578 1500 false
5 39 40 11,7674 94,0544 0 1491,84 37202 217 1500 false
5 40 41 11,9152 93,1094 0 1491,84 43393 114 1500 false
5 41 42 11,1818 90,8158 0 1491,84 49269 1517 1500 false
5 42 43 12,1679 97,384 0 1491,84 43753 1504 1500 false
5 43 44 12,2051 97,7022 0 1491,84 40108 1447 1500 false
5 44 45 12,0363 96,0264 0 1491,84 41582 3303 1500 false
5 45 46 11,7655 95,204 0 1491,84 47148 10661 1500 false
5 46 47 12,0201 93,6012 0 1491,84 60103 3010 1500 false
5 47 48 11,9238 98,0842 0 1493,25 36230 328 1500 false
5 48 49 11,9858 95,8318 0 1496,08 37460 838 1500 false
5 49 50 11,961 94,5586 0 1496,08 52715 205 1500 false
5 50 51 12,0354 97,0467 1 1496,08 42973 4056 1500 false
5 51 52 11,8752 94,0718 0 1496,08 44356 1577 1500 false
5 52 53 11,7664 95,5113 0 1496,08 42665 763 1500 false
5 53 54 11,9944 94,0164 0 1496,08 42763 2437 1500 false
5 54 55 12,0811 95,3476 0 1496,08 43084 1767 1500 false
5 55 56 12,0096 95,0678 1 1497,49 46189 1521 1500 false
5 56 57 11,7722 97,6222 0 1498,91 49661 501 1500 false
5 57 58 11,611 93,6902 5 1498,91 48084 575 1500 false
5 58 59 12,2356 97,3812 0 1500,32 44895 3730 1500 false
5 59 60 11,8952 93,4741 0 1500,32 37583 1269 1500 false
5 60 61 11,6882 95,5554 0 1500,32 44968 388 1500 false
5 61 62 12,3072 97,5536 0 1500,32 42714 482 1500 false
5 62 63 11,5633 90,859 0 1503,15 52149 1113 1500 false
5 63 64 12,2929 101,335 0 1504,56 41250 1658 1500 false
5 64 65 11,5776 92,6452 0 1504,56 51222 1757 1500 false
5 65 66 12,1469 95,1565 0 759,352 46491 823 1500 false
5 66 67 11,9715 94,9077 0 774,906 42908 126 1500 false
5 67 68 11,5261 93,8601 0 787,633 43850 3936 1500 false
5 68 69 12,3081 98,6309 0 803,188 43858 4813 1500 false
5 69 70 11,3029 91,3605 0 813,086 47589 3597 1500 false
5 70 71 12,0497 96,1044 0 824,398 41048 1857 1500 false
5 71 72 12,3959 97,9442 0 837,125 38484 2265 1500 false
5 72 73 11,8513 95,6635 0 844,195 38344 582 1500 false
5 73 74 12,0821 97,3964 3 429,875 38540 3964 1500 false
5 74 75 11,9209 95,311 0 465,227 36372 1352 1500 false
5 75 76 11,9133 95,3648 0 500,578 36408 1071 1500 false
5 76 77 11,8952 94,6038 0 534,516 41051 5221 1500 false
5 77 78 11,9352 95,8035 0 567,039 41384 9085 1500 false
5 78 79 11,9095 95,3177 0 595,32 36827 919 1500 false
5 79 80 11,9333 95,6771 0 616,531 42771 1553 1500 false
5 80 81 7,41768 59,3507 1 1,41406 38735 5122 1500 false
5 81 82 0 0 1 1,41406 38735 5122 1500 false
5 82 83 0 0 1 1,41406 38735 5122 1500 false
5 83 84 0 0 0 1,41406 38735 5122 1500 false
5 84 85 0 0 1 1,41406 38735 5122 1500 false
5 85 86 0 0 0 1,41406 38735 5122 1500 false
5 86 87 0 0 0 1,41406 38735 5122 1500 false
5 87 88 0 0 0 1,41406 38735 5122 1500 false
5 88 89 0 0 1 1,41406 38735 5122 1500 false
5 89 90 0 0 0 1,41406 38735 5122 1500 false
5 90 91 0 0 0 1,41406 38735 5122 1500 false
5 91 92 0 0 0 1,41406 38735 5122 1500 false
5 92 93 0 0 0 1,41406 38735 5122 1500 false
5 93 94 0 0 0 1,41406 38735 5122 1500 false
5 94 95 0 0 0 1,41406 38735 5122 1500 false
5 95 96 0 0 0 1,41406 38735 5122 1500 false
5 96 97 0 0 1 1,41406 38735 5122 1500 false
5 97 98 0 0 0 1,41406 38735 5122 1500 false
5 98 99 0 0 0 1,41406 38735 5122 1500 false
5 99 100 0 0 0 1,41406 38735 5122 1500 false
5 100 101 0 0 0 1,41406 38735 5122 1500 false
