5 0 1 11,9114 95,1865 22 4973,26 37684 2948 1500 false
5 1 2 11,7607 94,1885 0 4973,26 35596 226 1500 false
5 2 3 11,9247 95,2748 0 4973,26 37411 730 1500 false
5 3 4 12,0783 96,1856 0 4973,26 40199 673 1500 false
5 4 5 11,7788 94,7004 0 4973,26 36228 1327 1500 false
5 5 6 11,817 93,6238 0 4973,26 38452 434 1500 false
5 6 7 12,1756 98,4274 1 4973,26 40896 792 1500 false
5 7 8 11,8418 93,8857 0 4973,26 35663 418 1500 false
5 8 9 11,8361 94,4092 0 4973,26 37001 1146 1500 false
5 9 10 12,0754 97,7814 0 4973,26 35964 263 1500 false
5 10 11 11,8017 94,4296 0 4973,26 37268 26 1500 false
5 11 12 12,0153 96,127 0 4973,26 37065 1309 1500 false
5 12 13 11,7664 93,2033 0 4973,26 36703 1302 1500 false
5 13 14 12,0058 96,6043 0 4973,26 38604 189 1500 false
5 14 15 11,9324 95,6011 0 4973,26 39897 40 1500 false
5 15 16 11,9209 95,5202 0 4973,26 39652 1246 1500 false
5 16 17 11,9848 95,9238 15 2485,92 36300 561 1500 false
5 17 18 11,9057 94,9528 0 2485,92 37382 824 1500 false
5 18 19 11,9467 95,6386 0 2485,92 36268 1392 1500 false
5 19 20 11,9305 95,6873 0 2485,92 36140 274 1500 false
5 20 21 11,6596 93,3142 0 2485,92 39304 686 1500 false
5 21 22 12,0993 96,468 0 2485,92 36662 859 1500 false
5 22 23 11,9905 95,509 0 2485,92 36524 887 1500 false
5 23 24 11,7579 93,9701 0 2485,92 39038 3733 1500 false
5 24 25 11,8599 95,4907 0 2485,92 36252 1100 1500 false
5 25 26 12,1365 97,2255 0 2485,92 35876 946 1500 false
5 26 27 11,6787 93,2253 0 2485,92 41410 5 1500 false
5 27 28 12,1479 96,9533 0 2485,92 39163 233 1500 false
5 28 29 11,9352 92,9715 0 2485,92 37768 644 1500 false
5 29 30 11,8685 97,532 0 2485,92 35960 466 1500 false
5 30 31 12,0029 96,6034 0 2485,92 38985 1682 1500 false
5 31 32 11,8427 94,5096 0 2485,92 36446 1200 1500 false
5 32 33 11,9591 95,8787 0 2485,92 36188 380 1500 false
