5 0 1 11,7588 92,7676 2 2056,05 40361 57 1500 false
5 1 2 12,0792 97,8685 0 2056,05 37204 1180 1500 false
5 2 3 11,6158 92,8319 0 2056,05 40288 143 1500 false
5 3 4 12,1984 97,699 0 2056,05 38694 1760 1500 false
5 4 5 11,6653 92,9606 0 2056,05 45556 58 1500 false
5 5 6 12,1212 97,3998 0 2056,05 37175 630 1500 false
5 6 7 11,8036 92,0027 0 2056,05 40006 2624 1500 false
5 7 8 11,9934 97,4098 0 2056,05 37725 1251 1500 false
5 8 9 12,0125 96,3215 0 2056,05 37724 1314 1500 false
5 9 10 11,961 96,5982 0 2056,05 36418 358 1500 false
5 10 11 11,8647 94,9239 0 2056,05 37407 837 1500 false
5 11 12 11,9591 95,2251 0 2056,05 36245 477 1500 false
5 12 13 11,7168 93,5938 0 2056,05 37771 1218 1500 false
5 13 14 12,1336 97,3557 0 2056,05 38021 2696 1500 false
5 14 15 11,8656 95,1468 0 2056,05 36640 590 1500 false
5 15 16 11,7521 93,5027 0 2056,05 39419 29 1500 false
5 16 17 12,1479 97,8251 6 1028,02 35597 471 1500 false
5 17 18 11,9267 95,421 0 1028,02 35719 389 1500 false
5 18 19 11,8446 94,4295 0 1028,02 37771 1415 1500 false
5 19 20 11,961 96,0329 0 1028,02 35821 303 1500 false
5 20 21 11,9476 95,5547 1 1029,44 37796 31 1500 false
5 21 22 11,8856 94,8153 0 1029,44 39075 1686 1500 false
5 22 23 11,9543 95,3229 0 1029,44 36981 514 1500 false
5 23 24 11,8723 95,5005 0 1029,44 38747 1571 1500 false
5 24 25 11,8046 94,1734 0 1029,44 38642 3189 1500 false
5 25 26 11,9629 95,9981 0 1029,44 36001 618 1500 false
5 26 27 12,0478 96,4284 0 1030,85 38549 298 1500 false
5 27 28 11,8484 94,8031 0 1030,85 37340 232 1500 false
5 28 29 11,8494 93,6841 0 1030,85 35613 121 1500 false
5 29 30 11,9295 95,5636 0 1030,85 40261 3760 1500 false
5 30 31 12,0544 97,3235 0 1033,68 36215 670 1500 false
5 31 32 11,8713 94,5711 0 1033,68 35679 328 1500 false
5 32 33 11,9801 96,3434 0 1033,68 35558 549 1500 false
5 33 34 11,7664 93,7863 0 1033,68 37691 408 1500 false
5 34 35 11,8399 94,8014 0 1033,68 36808 582 1500 false
5 35 36 12,1069 95,512 0 1033,68 39069 157 1500 false
5 36 37 11,9076 96,8672 0 1036,51 42733 921 1500 false
5 37 38 11,9772 95,838 0 1042,16 40231 16 1500 false
5 38 39 11,5499 91,687 0 1046,41 47923 177 1500 false
5 39 40 12,2843 98,6404 0 1049,23 40278 304 1500 false
5 40 41 11,9362 94,8088 0 1053,48 40157 3211 1500 false
5 41 42 11,5566 92,9422 0 1056,3 41348 1195 1500 false
5 42 43 11,6825 93,6968 0 1060,55 46025 5426 1500 false
5 43 44 12,516 100,512 0 1063,38 40464 3868 1500 false
5 44 45 11,9219 94,2526 1 1066,2 44075 2322 1500 false
5 45 46 11,6396 91,7864 0 1070,45 38064 1140 1500 false
5 46 47 12,0668 96,7021 1 1076,1 39154 706 1500 false
5 47 48 11,7674 95,3471 0 1081,76 46158 20 1500 false
5 48 49 12,1861 97,3923 0 1083,17 40459 5101 1500 false
5 49 50 11,6501 92,9339 0 1088,83 45925 2020 1500 false
5 50 51 12,0544 98,0008 0 1091,66 40277 1800 1500 false
5 51 52 11,6816 93,3328 0 1097,31 42934 375 1500 false
5 52 53 12,2938 98,4187 40 1100,14 76219 9721 1500 false
5 53 54 11,2343 88,7406 0 1104,38 60837 3874 1500 false
5 54 55 12,6009 101,901 0 1111,45 42551 60 1500 false
5 55 56 11,7474 93,3011 0 1112,87 40516 2227 1500 false
5 56 57 12,1288 96,6745 0 1112,87 36566 35 1500 false
5 57 58 11,7569 92,4279 0 1115,7 48666 8398 1500 false
5 58 59 11,9562 96,4461 0 1117,11 42410 4381 1500 false
5 59 60 12,0544 98,6563 0 1122,77 38649 355 1500 false
5 60 61 11,9123 95,3298 0 1124,18 51582 2877 1500 false
5 61 62 11,651 92,6082 0 1128,42 42061 805 1500 false
5 62 63 11,9057 93,624 9 1132,66 46282 2753 1500 false
5 63 64 11,9896 97,8568 0 1136,91 41903 3767 1500 false
5 64 65 11,8656 94,6034 0 1141,15 41532 4751 1500 false
