5 0 1 2,78946 22,3039 25 45,25 38130 1174 1500 false
5 1 2 0,621414 4,97114 7 25,4531 38496 947 1500 false
5 2 3 0,621414 4,97376 6 21,2109 36615 546 1500 false
5 3 4 0,621414 4,97097 10 8,48438 38535 4317 1500 false
5 4 5 0,310707 2,47278 0 28,2812 38799 678 1500 false
5 5 6 0,310707 2,49487 6 1,41406 38404 906 1500 false
5 6 7 0 0 1 1,41406 38404 906 1500 false
5 7 8 0 0 1 1,41406 38404 906 1500 false
5 8 9 0 0 0 1,41406 38404 906 1500 false
5 9 10 0 0 1 1,41406 38404 906 1500 false
5 10 11 0 0 0 1,41406 38404 906 1500 false
5 11 12 0 0 0 1,41406 38404 906 1500 false
5 12 13 0 0 0 1,41406 38404 906 1500 false
5 13 14 0 0 1 1,41406 38404 906 1500 false
5 14 15 0 0 0 1,41406 38404 906 1500 false
5 15 16 0 0 0 1,41406 38404 906 1500 false
5 16 17 0 0 0 1,41406 38404 906 1500 false
5 17 18 0 0 0 1,41406 38404 906 1500 false
5 18 19 0 0 0 1,41406 38404 906 1500 false
5 19 20 0 0 0 1,41406 38404 906 1500 false
5 20 21 0 0 0 1,41406 38404 906 1500 false
5 21 22 0 0 1 1,41406 38404 906 1500 false
5 22 23 0 0 0 1,41406 38404 906 1500 false
5 23 24 0 0 0 1,41406 38404 906 1500 false
5 24 25 0 0 0 1,41406 38404 906 1500 false
5 25 26 0 0 0 1,41406 38404 906 1500 false
