5 0 1 0,336945 2,69448 0 28,2812 43828 7591 1500 false
5 1 2 0,303802 2,42281 0 28,2812 50045 11958 1500 false
5 2 3 0,289993 2,30975 0 28,2812 43131 3773 1500 false
5 3 4 0,303802 2,44643 0 28,2812 44933 4571 1500 false
5 4 5 0,317612 2,53557 0 28,2812 42318 2215 1500 false
5 5 6 0,303802 2,43615 0 28,2812 48398 6457 1500 false
5 6 7 0,248566 1,98762 0 28,2812 51188 15595 1500 false
5 7 8 0,276184 2,20617 0 28,2812 43195 3516 1500 false
5 8 9 0,331421 2,65799 0 28,2812 39198 2108 1500 false
5 9 10 0,303802 2,4295 0 28,2812 47103 6608 1500 false
5 10 11 0,331421 2,65112 0 28,2812 39395 3312 1500 false
5 11 12 0,317612 2,52297 0 28,2812 48639 4007 1500 false
5 12 13 0,303802 2,41246 0 28,2812 45097 7074 1500 false
5 13 14 0,303802 2,43587 0 28,2812 42953 5993 1500 false
5 14 15 0,262375 2,12127 1 28,2812 43042 3598 1500 false
5 15 16 0,317612 2,53815 0 28,2812 43891 4691 1500 false
5 16 17 0,303802 2,4366 0 28,2812 44615 2708 1500 false
5 17 18 0,303802 2,41748 0 28,2812 46206 1959 1500 false
5 18 19 0,317612 2,55794 0 28,2812 42474 2985 1500 false
5 19 20 0,331421 2,62444 0 28,2812 40643 2438 1500 false
5 20 21 0,317612 2,5644 0 28,2812 40933 2531 1500 false
5 21 22 0,317612 2,53133 0 28,2812 43795 3882 1500 false
5 22 23 0,331421 2,66263 0 28,2812 41202 3526 1500 false
5 23 24 0,317612 2,53567 0 28,2812 43910 3460 1500 false
5 24 25 0,331421 2,65796 0 28,2812 41195 2732 1500 false
5 25 26 0,317612 2,5306 0 28,2812 44334 5562 1500 false
